address,city,state,postalCode,price,size_sqft,num_rooms,year_built
26246 Moorpark Ct,Corona,CA,92883,745990.0,2079.0,4,2025
203 Tate St,Pomona,CA,91767,648000.0,1460.0,2,1947
40 E Greenwich Ave,West Warwick,RI,02893,574900.0,1650.0,4,1920
420 BELGIAN RED Way,Wake Forest,NC,27587,308900.0,1418.0,3,2025
1331 Windage Ct SW,Marietta,GA,30008,412900.0,1800.0,4,1993
1948 S 15TH ST,Philadelphia,PA,19145,1050.0,1752.0,3,1920
1640 RIDGELAND AVE,Berwyn,IL,60402,1950.0,2898.0,3,1927
771 S 12th St,Philadelphia,PA,19147,842500.0,2096.0,4,1915
133 N Chubb Rdg,Wilson'S Mills,NC,27520,259990.0,1386.0,3,2025
5883 Bridle Path Ln,Montgomery,AL,36116,230000.0,2641.0,4,1986
800 EMERALD BAY Cir,Raleigh,NC,27610,569990.0,3420.0,5,2025
9929 Carillon Dr,Ellicott City,MD,21042,866168.0,3423.0,3,1981
74 CHEYENNE Dr,Clayton,NC,27520,389490.0,2368.0,5,2025
79 Barker Ave,Sharon Hill,PA,19079,183500.0,1208.0,3,1923
174 OAK BARREL Rd,Wilson'S Mills,NC,27577,346240.0,1991.0,4,0
245 PALOMINO Way,Clayton,NC,27520,388490.0,2368.0,5,2025
5195 Caliente St Unit 71,Las Vegas,NV,89119,192000.0,994.0,2,1984
1635 Scoville Ave,Berwyn,IL,60402-1907,308953.0,2239.0,4,1925
717 Cedar Ln,Norristown,PA,19401,365000.0,1621.0,3,2007
135 N Chubb Rdg,Wilson Mills,NC,27520,259990.0,1386.0,3,0
5505 Bay St NE,Saint Petersburg,FL,33703,49100.0,704.0,0,1960
1637 Scoville Ave,Berwyn,IL,60402,222969.0,1022.0,2,1941
3955 Sweetwater Pkwy,Ellenwood,GA,30294,345000.0,2365.0,4,1999
9827 Starry Night Ln,Manvel,TX,77578,0.0,2649.0,4,2023
6750 Blue Stone Ct,Whitehouse,OH,43571,538900.0,2906.0,4,2011
